,Rx Time (sec),Rx Intensity,Rx Voltage PWM (V)
201,9.891151666641235,16,0.528
202,9.917694807052612,14,0.462
203,9.944326877593994,13,0.429
204,9.970950841903687,11,0.363
205,9.99756383895874,8,0.264
206,10.0242018699646,4,0.132
207,10.050375938415527,0,0.0
208,10.06477689743042,0,0.0
209,10.07917070388794,0,0.0
210,10.093516826629639,0,0.0
211,10.107903957366943,0,0.0
212,10.122288703918457,0,0.0
213,10.13665771484375,0,0.0
214,10.151113986968994,0,0.0
215,10.165418863296509,0,0.0
216,10.179786920547485,0,0.0
217,10.194172859191895,0,0.0
218,10.208513736724854,0,0.0
219,10.222895860671997,0,0.0
220,10.237276792526245,0,0.0
221,10.251607656478882,0,0.0
222,10.266055822372437,0,0.0
223,10.280420780181885,0,0.0
224,10.294748783111572,0,0.0
225,10.309123754501343,0,0.0
226,10.323594808578491,0,0.0
227,10.337925910949707,0,0.0
228,10.352283716201782,0,0.0
229,10.366642951965332,0,0.0
230,10.38111686706543,0,0.0
231,10.395406723022461,0,0.0
232,10.409775733947754,0,0.0
233,10.424149990081787,0,0.0
234,10.438507795333862,0,0.0
235,10.452899694442749,0,0.0
236,10.467300653457642,0,0.0
237,10.481654644012451,0,0.0
238,10.496125936508179,0,0.0
239,10.52222990989685,0,0.0
240,10.548886775970459,5,0.165
241,10.575493812561035,13,0.429
242,10.602108716964722,21,0.693
243,10.628722906112671,26,0.858
244,10.655337810516357,29,0.9569999999999999
245,10.682036876678467,30,0.9899999999999999
246,10.70853877067566,32,1.056
247,10.735143899917603,34,1.122
248,10.761770009994507,35,1.1549999999999998
249,10.788375616073608,37,1.2209999999999999
250,10.815025806427002,39,1.287
251,10.841570615768433,41,1.3529999999999998
252,10.868145942687988,42,1.386
253,10.894667625427246,43,1.4189999999999998
254,10.921360731124878,44,1.452
255,10.94794487953186,44,1.452
256,10.974532842636108,44,1.452
257,10.989401817321777,100,3.3
258,11.00377082824707,0,0.0
259,11.030387878417969,22,0.726
260,11.057120561599731,59,1.9469999999999998
261,11.083648920059204,17,0.561
262,11.110255718231201,46,1.518
263,11.136871814727783,28,0.924
264,11.16344666481018,23,0.759
265,11.190136671066284,52,1.716
266,11.216709852218628,17,0.561
267,11.243216753005981,47,1.551
268,11.269893884658813,27,0.891
269,11.284299612045288,0,0.0
270,11.298645973205566,0,0.0
271,11.313126802444458,0,0.0
272,11.339631795883179,36,1.188
273,11.354116678237915,0,0.0
274,11.36836576461792,0,0.0
275,11.395028829574585,44,1.452
276,11.421615839004517,44,1.452
277,11.44814682006836,45,1.4849999999999999
278,11.47485065460205,45,1.4849999999999999
279,11.5013587474823,47,1.551
280,11.527933835983276,48,1.5839999999999999
281,11.554568767547607,50,1.65
282,11.581257820129395,52,1.716
283,11.607878923416138,54,1.782
284,11.634426832199097,57,1.8809999999999998
285,11.661155700683594,60,1.9799999999999998
286,11.687672853469849,63,2.0789999999999997
287,11.714313983917236,68,2.244
288,11.740906953811646,73,2.409
289,11.767552852630615,79,2.6069999999999998
290,11.794158697128296,86,2.8379999999999996
291,11.809122800827026,97,3.2009999999999996
292,11.823912858963013,100,3.3
293,11.83880090713501,100,3.3
294,11.8536958694458,100,3.3
295,11.868583917617798,100,3.3
296,11.883909702301025,100,3.3
297,11.898353815078735,100,3.3
298,11.913240671157837,100,3.3
299,11.928167819976807,100,3.3
300,11.943107843399048,100,3.3
301,11.957925796508789,100,3.3
302,11.972810983657837,100,3.3
303,11.98769998550415,100,3.3
304,12.002605676651001,100,3.3
305,12.01749300956726,100,3.3
306,12.032333850860596,100,3.3
307,12.04724669456482,100,3.3
308,12.062139749526978,100,3.3
309,12.077124834060669,100,3.3
310,12.091946840286255,100,3.3
311,12.106794834136963,100,3.3
312,12.121689796447754,100,3.3
313,12.136581897735596,100,3.3
314,12.151482820510864,100,3.3
315,12.16636872291565,100,3.3
316,12.181276798248291,100,3.3
317,12.196159839630127,100,3.3
318,12.211092948913574,100,3.3
319,12.225919961929321,100,3.3
320,12.2408127784729,100,3.3
321,12.256061792373657,100,3.3
322,12.270598888397217,100,3.3
323,12.285536766052246,100,3.3
324,12.300399780273438,100,3.3
325,12.315284967422485,100,3.3
326,12.330167770385742,100,3.3
327,12.345051765441895,100,3.3
328,12.359943866729736,100,3.3
329,12.374757766723633,100,3.3
330,12.389740705490112,100,3.3
331,12.404613733291626,100,3.3
332,12.419511795043945,100,3.3
333,12.434394836425781,100,3.3
334,12.449262857437134,100,3.3
335,12.464146852493286,100,3.3
336,12.479117631912231,100,3.3
337,12.4939546585083,100,3.3
338,12.508845806121826,100,3.3
339,12.523741960525513,100,3.3
340,12.53861665725708,100,3.3
341,12.553550720214844,100,3.3
342,12.568405866622925,100,3.3
343,12.583305835723877,100,3.3
344,12.598211765289307,100,3.3
345,12.613138914108276,100,3.3
346,12.627979755401611,100,3.3
347,12.642836809158325,100,3.3
348,12.657735824584961,100,3.3
349,12.67262077331543,100,3.3
350,12.687544822692871,100,3.3
351,12.702416896820068,100,3.3
352,12.717331886291504,100,3.3
353,12.732192754745483,100,3.3
354,12.747150659561157,100,3.3
355,12.761944770812988,100,3.3
356,12.776861906051636,100,3.3
357,12.791743993759155,100,3.3
358,12.806633949279785,100,3.3
359,12.821530818939209,100,3.3
360,12.836420774459839,100,3.3
361,12.85131287574768,100,3.3
362,12.866195917129517,100,3.3
363,12.881113767623901,100,3.3
364,12.895967960357666,100,3.3
365,12.910897731781006,100,3.3
366,12.925751686096191,100,3.3
367,12.940645694732666,100,3.3
368,12.955528974533081,100,3.3
369,12.970409870147705,100,3.3
370,12.985453844070435,100,3.3
371,13.000211954116821,100,3.3
372,13.015095710754395,100,3.3
373,13.030008792877197,100,3.3
374,13.044844627380371,100,3.3
375,13.059743881225586,100,3.3
376,13.074638843536377,100,3.3
377,13.08956789970398,100,3.3
378,13.104423761367798,100,3.3
379,13.119316816329956,100,3.3
380,13.134152889251709,100,3.3
381,13.149046659469604,100,3.3
382,13.164025783538818,100,3.3
383,13.178797721862793,100,3.3
384,13.193810939788818,100,3.3
385,13.208655834197998,100,3.3
386,13.223532676696777,100,3.3
387,13.238433599472046,100,3.3
388,13.253391742706299,100,3.3
389,13.26827597618103,100,3.3
390,13.283135890960693,100,3.3
391,13.298145771026611,100,3.3
392,13.312898635864258,100,3.3
393,13.327775001525879,100,3.3
394,13.342666864395142,100,3.3
395,13.357558727264404,100,3.3
396,13.372456789016724,100,3.3
397,13.387341737747192,100,3.3
398,13.40223479270935,100,3.3
399,13.417107820510864,100,3.3
400,13.432114839553833,100,3.3
401,13.446895837783813,100,3.3
402,13.461802959442139,100,3.3
403,13.476680755615234,100,3.3
404,13.49156665802002,100,3.3
405,13.50646185874939,100,3.3
406,13.521323680877686,100,3.3
407,13.536216735839844,100,3.3
408,13.551132917404175,100,3.3
409,13.566118717193604,100,3.3
410,13.580911874771118,100,3.3
411,13.595816850662231,100,3.3
412,13.610740900039673,100,3.3
413,13.625582695007324,100,3.3
414,13.640474796295166,100,3.3
415,13.655369997024536,100,3.3
416,13.670251607894897,100,3.3
417,13.685144662857056,100,3.3
418,13.70015263557434,100,3.3
419,13.71492886543274,100,3.3
420,13.729812860488892,100,3.3
421,13.744655847549438,100,3.3
422,13.759554624557495,100,3.3
423,13.774468660354614,100,3.3
424,13.789383888244629,100,3.3
425,13.804237842559814,100,3.3
426,13.819167852401733,100,3.3
427,13.834102630615234,100,3.3
428,13.848918676376343,100,3.3
429,13.863807916641235,100,3.3
430,13.87870478630066,100,3.3
431,13.893597841262817,100,3.3
432,13.908520936965942,100,3.3
433,13.923382759094238,100,3.3
434,13.938267707824707,100,3.3
435,13.953184604644775,100,3.3
436,13.968130826950073,100,3.3
437,13.982917785644531,100,3.3
438,13.99779462814331,100,3.3
439,14.012707710266113,100,3.3
440,14.0276038646698,100,3.3
441,14.042479753494263,100,3.3
442,14.05736780166626,100,3.3
443,14.07227873802185,100,3.3
444,14.087191820144653,100,3.3
445,14.102141857147217,100,3.3
446,14.11692476272583,100,3.3
447,14.131831645965576,100,3.3
448,14.146707773208618,100,3.3
449,14.16161584854126,100,3.3
450,14.176534652709961,100,3.3
451,14.191398859024048,100,3.3
452,14.206267833709717,100,3.3
453,14.221155643463135,100,3.3
454,14.236150741577148,100,3.3
455,14.250895738601685,100,3.3
456,14.265824794769287,100,3.3
457,14.280699729919434,100,3.3
458,14.295592784881592,100,3.3
459,14.310499668121338,100,3.3
460,14.325385808944702,100,3.3
461,14.340272903442383,100,3.3
462,14.355154752731323,100,3.3
463,14.370116710662842,100,3.3
464,14.3849458694458,100,3.3
465,14.39982271194458,100,3.3
466,14.733057737350464,100,3.3
467,14.747790813446045,100,3.3
468,14.76272988319397,100,3.3
469,14.777653932571411,100,3.3
470,14.792539834976196,100,3.3
471,14.807430744171143,100,3.3
472,14.822296857833862,100,3.3
473,14.83714485168457,100,3.3
474,14.852122783660889,100,3.3
475,14.86700963973999,100,3.3
476,14.881877899169922,100,3.3
477,14.896775960922241,100,3.3
478,14.911628723144531,100,3.3
479,14.926527976989746,100,3.3
480,14.941458940505981,100,3.3
481,14.9563148021698,100,3.3
482,14.971197843551636,100,3.3
483,14.986111879348755,100,3.3
484,15.00103497505188,100,3.3
485,15.015856742858887,100,3.3
486,15.030756711959839,100,3.3
487,15.045642852783203,100,3.3
488,15.060551881790161,100,3.3
489,15.075423002243042,100,3.3
490,15.090309858322144,100,3.3
491,15.105211734771729,100,3.3
492,15.120139598846436,100,3.3
493,15.135023832321167,100,3.3
494,15.149890661239624,100,3.3
495,15.164753913879395,100,3.3
496,15.17963695526123,100,3.3
497,15.194528579711914,100,3.3
498,15.209433794021606,100,3.3
499,15.224311828613281,100,3.3
500,15.239216804504395,100,3.3
501,15.254122972488403,100,3.3
502,15.26905870437622,100,3.3
503,15.28392481803894,100,3.3
504,15.298774003982544,100,3.3
505,15.313644647598267,100,3.3
506,15.328545808792114,100,3.3
507,15.343438863754272,100,3.3
508,15.35831880569458,100,3.3
509,15.373226881027222,100,3.3
510,15.388137817382812,100,3.3
511,15.403124809265137,100,3.3
512,15.417887926101685,100,3.3
513,15.43277883529663,100,3.3
514,15.447669982910156,100,3.3
515,15.462562799453735,100,3.3
516,15.47746992111206,100,3.3
517,15.492348909378052,100,3.3
518,18.87132978439331,100,3.3
519,19.292566776275635,100,3.3
520,19.71388864517212,100,3.3
521,20.13517689704895,100,3.3
522,20.556298971176147,100,3.3
523,20.977646827697754,100,3.3
524,21.399147748947144,100,3.3
525,21.82037663459778,100,3.3
526,22.241723775863647,100,3.3
527,22.662850618362427,100,3.3
528,23.26392388343811,100,3.3
529,23.685120820999146,100,3.3
530,24.10633087158203,100,3.3
531,24.527626991271973,100,3.3
532,48.69305682182312,100,3.3
533,48.707870960235596,100,3.3
534,48.72270584106445,100,3.3
535,48.73759484291077,100,3.3
536,48.75249481201172,100,3.3
537,48.76742386817932,100,3.3
538,48.78231501579285,100,3.3
539,48.79718089103699,100,3.3
540,48.81214785575867,100,3.3
541,48.82696580886841,100,3.3
542,48.841816663742065,100,3.3
543,48.8566997051239,100,3.3
544,48.87159085273743,100,3.3
545,48.886475801467896,100,3.3
546,48.901368856430054,100,3.3
547,48.916300773620605,100,3.3
548,48.931169748306274,100,3.3
549,48.94616675376892,100,3.3
550,48.960935831069946,100,3.3
551,48.97583365440369,100,3.3
552,48.990705728530884,100,3.3
553,49.005645751953125,100,3.3
554,49.020516872406006,100,3.3
555,49.035422801971436,100,3.3
556,49.050240993499756,100,3.3
557,49.065157890319824,100,3.3
558,49.08012795448303,100,3.3
559,49.09492778778076,100,3.3
560,49.109800815582275,100,3.3
561,49.12472867965698,100,3.3
562,49.139596700668335,100,3.3
563,49.15447664260864,100,3.3
564,49.16938281059265,100,3.3
565,49.18426489830017,100,3.3
566,49.199124813079834,100,3.3
567,49.21413469314575,100,3.3
568,49.22891068458557,100,3.3
569,49.243751764297485,100,3.3
570,49.25874376296997,100,3.3
571,49.273622035980225,100,3.3
572,49.28848481178284,100,3.3
573,49.303366899490356,100,3.3
574,49.3182578086853,100,3.3
575,49.333130836486816,100,3.3
576,49.348121881484985,100,3.3
577,49.362892627716064,100,3.3
578,49.3778178691864,100,3.3
579,49.39265275001526,100,3.3
580,49.40753674507141,100,3.3
581,49.422470808029175,100,3.3
582,49.43733191490173,100,3.3
583,49.45222187042236,100,3.3
584,49.46709871292114,100,3.3
585,49.482022762298584,100,3.3
586,49.49688982963562,100,3.3
587,49.51177763938904,100,3.3
588,49.526657581329346,100,3.3
589,49.54152870178223,100,3.3
590,49.556410789489746,100,3.3
591,49.57129192352295,100,3.3
592,49.58618187904358,100,3.3
593,49.60110878944397,100,3.3
594,49.61602568626404,100,3.3
595,49.630881786346436,100,3.3
596,49.64577269554138,100,3.3
597,49.66065263748169,100,3.3
598,49.675532817840576,100,3.3
599,49.690428733825684,100,3.3
600,49.70529580116272,100,3.3
601,49.72022867202759,100,3.3
602,49.73509669303894,100,3.3
603,49.75011372566223,100,3.3
604,49.76490497589111,100,3.3
605,49.779754877090454,100,3.3
606,49.794593811035156,100,3.3
607,49.80948281288147,100,3.3
608,49.82438778877258,100,3.3
609,49.83930492401123,100,3.3
610,49.85415577888489,100,3.3
611,49.86914277076721,100,3.3
612,49.88398480415344,100,3.3
613,49.89881777763367,100,3.3
614,49.91371178627014,100,3.3
615,49.92862892150879,100,3.3
616,49.94348073005676,100,3.3
617,49.95836687088013,100,3.3
618,49.973270654678345,100,3.3
619,49.988152742385864,100,3.3
620,50.00313377380371,100,3.3
621,50.01791167259216,100,3.3
622,50.03280282020569,100,3.3
623,50.04770874977112,100,3.3
624,50.0625958442688,100,3.3
625,50.07748293876648,100,3.3
626,50.092344760894775,100,3.3
627,50.107231855392456,100,3.3
628,50.1221137046814,100,3.3
629,50.13713979721069,100,3.3
630,50.15191388130188,100,3.3
631,50.16680073738098,100,3.3
632,50.18165969848633,100,3.3
633,50.19655084609985,100,3.3
634,50.211453914642334,100,3.3
635,50.226327657699585,100,3.3
636,50.241267919540405,100,3.3
637,50.25613594055176,100,3.3
638,50.27105093002319,100,3.3
639,50.285873889923096,100,3.3
640,50.3007538318634,100,3.3
641,50.31563067436218,100,3.3
642,50.33053278923035,100,3.3
643,50.34541177749634,100,3.3
644,50.36029386520386,100,3.3
